n_nodes,minDegMAP,minFillMAP,randMAP,minDegMPE,minFillMPE,randMPE
10,0.0845644474029541,0.08099865913391113,0.07708454132080078,0.1810011863708496,0.10523366928100586,0.11970901489257812
10,0.07153153419494629,0.08536577224731445,0.07928037643432617,0.11316061019897461,0.12009549140930176,0.1108090877532959
10,0.07667160034179688,0.07543015480041504,0.07543206214904785,0.11257529258728027,0.1180105209350586,0.1173558235168457
10,None,None,None,None,None,None
10,None,None,None,None,None,None
10,None,None,None,None,None,None
10,0.06479454040527344,0.06103181838989258,0.05914592742919922,0.1320970058441162,0.11199498176574707,0.10178732872009277
10,0.06225085258483887,0.05900430679321289,None,0.10065007209777832,0.09768795967102051,0.0963752269744873
10,0.06511640548706055,0.06869864463806152,0.06221485137939453,0.09837150573730469,0.09667658805847168,0.09222817420959473
10,0.06356143951416016,0.062255144119262695,0.0601348876953125,0.09817123413085938,0.09896349906921387,0.09607481956481934
10,0.08271026611328125,0.09271717071533203,0.09954547882080078,0.09747123718261719,0.1003561019897461,0.08819937705993652
10,0.06839823722839355,0.06438970565795898,0.06848287582397461,0.09114503860473633,0.08912420272827148,0.08996224403381348
10,None,None,None,None,None,None
10,0.06504154205322266,0.0662086009979248,0.06400442123413086,0.1040048599243164,0.10406255722045898,0.10013508796691895
10,0.06592774391174316,0.12454676628112793,0.0690009593963623,0.10786557197570801,0.10537219047546387,0.10495972633361816
10,None,None,None,None,None,None
10,0.06708335876464844,0.0646519660949707,0.06507253646850586,0.1069939136505127,0.11005401611328125,0.0989997386932373
10,0.0665121078491211,0.06450486183166504,0.06262898445129395,0.10501217842102051,0.10810136795043945,0.1071012020111084
10,0.06125760078430176,0.05887341499328613,0.06584429740905762,0.09922242164611816,0.08913564682006836,0.09523773193359375
10,None,None,None,None,None,None
10,None,None,None,None,None,None
10,None,None,None,None,None,None
10,None,None,None,None,None,None
10,None,None,None,None,None,None
10,None,None,None,None,None,None
10,None,None,None,None,None,None
10,0.06298303604125977,0.06399655342102051,0.06161761283874512,0.09100985527038574,0.09414267539978027,0.09463691711425781
10,0.0641775131225586,0.06424283981323242,0.06810188293457031,0.10888910293579102,0.1085507869720459,0.10432672500610352
10,None,None,None,None,None,None
10,None,None,None,None,None,None
10,0.06425786018371582,0.06823992729187012,0.06421303749084473,0.0905458927154541,0.09421563148498535,0.09264206886291504
10,None,None,None,None,None,None
10,0.05902266502380371,0.05904054641723633,0.058977365493774414,0.09303855895996094,0.09495782852172852,0.09430336952209473
10,0.06308579444885254,0.06742286682128906,0.06423187255859375,0.1041569709777832,0.10787105560302734,0.0984184741973877
10,0.06805014610290527,0.06260824203491211,0.060468435287475586,0.09268689155578613,0.09418892860412598,0.09260249137878418
10,0.06477808952331543,0.06608104705810547,0.061135292053222656,0.09100604057312012,0.09126043319702148,0.09530067443847656
10,0.0656890869140625,0.06189465522766113,0.06263208389282227,0.08624553680419922,0.08948612213134766,0.09276223182678223
10,0.09103560447692871,0.06587505340576172,0.06687355041503906,0.09212493896484375,0.0917809009552002,0.08897185325622559
10,0.06938695907592773,0.06776261329650879,0.06412625312805176,0.10195398330688477,0.10021805763244629,0.0987234115600586
10,0.07098531723022461,0.06707429885864258,0.06607937812805176,0.10319304466247559,0.10916471481323242,0.10194897651672363
10,0.06931114196777344,0.06752967834472656,0.0714724063873291,0.10162568092346191,0.09622669219970703,0.1008920669555664
10,0.06456422805786133,0.06132030487060547,0.06203770637512207,0.09709739685058594,0.08990478515625,0.09818744659423828
10,0.06508684158325195,0.07297444343566895,0.07161593437194824,0.10080170631408691,0.10362911224365234,0.09895634651184082
10,0.10799503326416016,0.08699941635131836,0.06692671775817871,0.09415936470031738,0.09913325309753418,0.10132741928100586
10,0.06848573684692383,0.06485867500305176,0.0662221908569336,0.10299921035766602,0.10602855682373047,0.0991659164428711
10,0.05802655220031738,0.057984113693237305,0.06309986114501953,0.09082698822021484,0.09897851943969727,0.10387396812438965
10,0.06867766380310059,0.07086634635925293,0.06183195114135742,0.08982300758361816,0.09127378463745117,0.09653782844543457
10,0.06766986846923828,0.0664529800415039,0.06604266166687012,0.09661436080932617,0.10501861572265625,0.10018205642700195
10,0.07110142707824707,0.06808638572692871,0.06727719306945801,0.10577917098999023,0.09999561309814453,0.10395264625549316
